species,decimallatitude,decimallongitude
Ardea alba,20.836927,84.427574
Ardea alba,19.867926,85.547264
Ardea alba,20.257078,85.83887
Ardea alba,20.521969,86.435196
Ardea alba,20.536064,85.81979
Ardea alba,19.673035,85.37944
Ardea alba,20.593971,84.78405
Ardea alba,20.743206,86.86706
Ardea alba,20.230106,86.271194
Ardea alba,20.665888,84.59342
Ardea alba,20.315048,85.69054
Ardea alba,19.688463,85.291855
Ardea alba,21.465061,85.297844
Ardea alba,20.41573,85.60425
Ardea alba,20.201513,85.86866
Ardea alba,20.162582,85.74954
Ardea alba,20.607506,85.88313
Ardea alba,18.575848,83.00153
Ardea alba,18.62798,82.95226
Ardea alba,20.469372,85.77659
Ardea alba,18.634779,82.946144
Ardea alba,21.440207,86.59218
Ardea alba,20.340925,85.4658
Ardea alba,20.824856,84.00141
Ardea alba,19.506918,84.92334
Ardea alba,20.278349,86.6349
Ardea alba,20.715603,86.86302
Ardea alba,21.531199,83.77036
Ardea alba,19.381315,85.07616
Ardea alba,19.51418,85.09738
Ardea alba,19.915176,85.43484
Ardea alba,21.620066,83.729614
Ardea alba,19.849321,83.004005
Ardea alba,19.895535,85.438416
Ardea alba,21.58538,87.422676
Ardea alba,21.047298,86.424065
Ardea alba,19.423878,84.75906
Ardea alba,18.414743,82.91057
Ardea alba,20.232422,86.26962
Ardea alba,20.713745,86.82283
Ardea alba,21.498392,83.78825
Ardea alba,20.320688,85.79923
Ardea alba,20.49497,86.40418
Ardea alba,18.533714,83.0089
Ardea alba,19.466702,85.124115
Ardea alba,20.507183,84.86613
Ardea alba,19.895506,85.43891
Ardea alba,20.313274,85.50812
Ardea alba,19.47274,85.16048
Ardea alba,19.74144,85.21087
Ardea alba,20.467466,86.112434
Ardea alba,20.459751,84.98911
Ardea alba,19.23243,84.85431
Ardea alba,19.913725,85.43655
Ardea alba,19.927435,86.06352
Ardea alba,18.568516,82.83924
Ardea alba,20.457815,85.79359
Ardea alba,20.279724,85.93576
Ardea alba,19.66627,85.16491
Ardea alba,19.514198,85.09613
Ardea alba,20.669092,86.84224
Ardea alba,20.412676,85.69712
Ardea alba,19.896452,85.44132
Ardea alba,21.56156,83.749756
Ardea alba,18.757,82.82377
Ardea alba,18.698093,83.02264
Ardea alba,21.280357,83.91239
Ardea alba,20.19046,85.85375
Ardea alba,19.31046,84.84234
Ardea alba,20.687134,84.571495
Ardea alba,20.608814,84.760735
Ardea alba,18.63024,82.89347
Ardea alba,20.447945,85.74265
Ardea alba,20.485863,85.76436
Ardea alba,20.190733,85.64085
Ardea alba,20.541124,85.87018
Ardea alba,18.60191,82.80456
Ardea alba,19.905342,83.16217
Ardea alba,20.446424,85.67948
Ardea alba,20.312956,86.3011
Ardea alba,20.277283,83.33768
Ardea alba,19.852068,83.00828
Ardea alba,20.888094,83.918
Ardea alba,19.5978,85.1236
Ardea alba,18.505764,83.00289
Ardea alba,18.570448,82.88812
Ardea alba,18.561518,82.95306
Ardea alba,20.609978,85.88123
Ardea alba,19.256514,84.23351
Ardea alba,20.495317,85.76673
Ardea alba,19.519022,85.09531
Ardea alba,19.378624,85.03218
Ardea alba,21.594086,83.87164
Ardea alba,20.306356,86.34284
Ardea alba,19.680647,85.20061
Ardea alba,20.724,83.45049
Ardea alba,21.54395,86.81518
Ardea alba,19.70517,85.19072
Ardea alba,19.28323,84.27154
Ardea alba,19.745514,84.438286
Ardea alba,18.506775,83.01719
Ardea alba,19.858864,85.65066
Ardea alba,20.550957,85.40522
Ardea alba,20.453756,85.93378
Ardea alba,18.574738,82.929665
Ardea alba,20.15583,85.76571
Ardea alba,19.661432,85.383865
Ardea alba,20.750074,86.86182
Ardea alba,19.717482,85.19403
Ardea alba,18.592985,82.89967
Ardea alba,20.35943,85.82474
Ardea alba,20.496231,86.431015
Ardea alba,19.37665,85.05732
Ardea alba,20.78383,84.378395
Ardea alba,20.453997,85.735435
Ardea alba,20.771126,83.332115
Ardea alba,20.480362,85.77643
Ardea alba,20.432339,85.69596
Ardea alba,20.43506,86.16615
Ardea alba,19.678679,84.682365
Ardea alba,18.711817,82.9427
Ardea alba,19.655355,85.44952
Ardea alba,20.04666,85.537445
Ardea alba,18.583376,83.004814
Ardea alba,19.277687,84.906204
Ardea alba,20.230755,86.271736
Ardea alba,19.605658,85.13015
Ardea alba,19.651358,82.58463
Ardea alba,19.694643,85.53332
Ardea alba,19.690464,85.27988
Ardea alba,19.326878,84.882614
Ardea alba,20.73723,86.831894
Ardea alba,18.550238,82.910576
Ardea alba,19.928814,85.39676
Ardea alba,18.627378,82.89847
Ardea alba,20.072002,86.16921
Ardea alba,20.450294,85.634995
Ardea alba,20.785255,84.37467
Ardea alba,20.74726,84.52528
Ardea alba,20.037289,83.038185
Ardea alba,19.705433,85.19249
Ardea alba,20.473186,86.13119
Ardea alba,20.78869,85.27221
Ardea alba,18.52059,83.02457
Ardea alba,20.578035,85.8755
Ardea alba,18.578419,83.02708
Ardea alba,20.317533,85.86207
Ardea alba,20.726334,84.50186
Ardea alba,20.510323,85.836784
Ardea alba,19.704985,85.30506
Ardea alba,18.735285,83.03026
Ardea alba,19.764206,85.5966
Ardea alba,21.69443,83.89255
Ardea alba,19.752432,85.22915
Ardea alba,20.857769,84.325
Ardea alba,21.16236,83.24278
Ardea alba,19.895628,85.43838
Ardea alba,19.716078,85.19521
Ardea alba,20.740099,86.829155
Ardea alba,20.21678,85.80157
Ardea alba,20.51235,85.8215
Ardea alba,18.51676,83.00228
Ardea alba,20.779165,84.358574
Ardea alba,20.533373,86.78191
Ardea alba,19.576935,85.13939
Ardea alba,20.498154,85.819664
Ardea alba,21.494577,83.92241
Ardea alba,20.455843,85.732056
Ardea alba,19.890057,85.439705
Ardea alba,19.913162,85.436646
Ardea alba,20.612629,86.7721
Ardea alba,20.325714,85.8606
Ardea alba,20.485065,85.911064
Ardea alba,21.035124,84.63997
Ardea alba,19.604925,85.1302
Ardea alba,20.509327,85.80662
Ardea alba,21.589539,87.41913
Ardea alba,19.695929,85.50528
Ardea alba,21.426271,86.85549
Ardea alba,19.873873,85.40794
Ardea alba,19.274904,84.91101
Ardea alba,18.523703,82.95395
Ardea alba,20.718481,86.82213
Ardea alba,18.491785,82.87998
Ardea alba,19.581089,85.244774
Ardea alba,20.40505,85.613266
Ardea alba,19.468689,85.12492
Ardea alba,21.491743,83.916214
Ardea alba,18.627695,82.93016
Ardea alba,22.11238,86.090294
Ardea alba,20.451942,85.73271
Ardea alba,20.157682,85.76268
Ardea alba,21.830072,86.78965
Ardea alba,18.70513,82.90631
Ardea alba,20.361727,85.19501
Ardea alba,21.528,83.76504
Ardea alba,20.723644,86.85105
Ardea alba,20.251757,85.64293
Ardea alba,20.468441,85.90349
Ardea alba,20.806404,86.07182
Ardea alba,18.573559,82.95461
Ardea alba,21.092995,84.11816
Ardea alba,19.895292,85.4393
Ardea alba,20.437576,86.1668
Ardea alba,20.610256,85.88174
Ardea alba,20.186813,85.838974
Ardea alba,19.90877,85.43623
Ardea alba,20.369492,85.89116
Ardea alba,21.604584,83.88639
Ardea alba,21.910938,86.74898
Ardea alba,20.299553,86.31728
Ardea alba,21.49467,85.53499
Ardea alba,18.757017,82.71423
Ardea alba,19.687744,85.28924
Ardea alba,19.864359,83.17343
Ardea alba,18.583622,82.990074
Ardea alba,20.48301,86.13228
Ardea alba,20.706244,83.48777
Ardea alba,20.277822,85.75136
Ardea alba,20.223806,85.810776
Ardea alba,18.550438,82.90987
Ardea alba,19.91916,85.42356
Ardea alba,20.402575,85.819016
Ardea alba,20.394276,85.79047
Ardea alba,18.577642,82.99494
Ardea alba,21.05577,84.61231
Ardea alba,18.704905,82.84443
Ardea alba,20.514,86.398
Ardea alba,19.80949,83.05182
Ardea alba,19.829123,82.83763
Ardea alba,21.478851,87.07833
Ardea alba,20.404736,85.62141
Ardea alba,21.446463,83.710335
Ardea alba,19.847088,83.00273
Ardea alba,19.88978,85.818695
Ardea alba,20.710022,86.136986
Ardea alba,19.80745,85.724
Ardea alba,20.784155,84.400955
Ardea alba,20.724178,84.69042
Ardea alba,21.61448,83.89553
Ardea alba,21.42721,85.05517
Ardea alba,19.379395,85.01982
Ardea alba,20.462751,86.15451
Ardea alba,19.900764,85.43731
Ardea alba,20.276459,85.85622
Ardea alba,21.448355,83.948296
Ardea alba,20.19042,85.62329
Ardea alba,20.18843,83.50829
Ardea alba,20.734915,86.86953
Ardea alba,20.306879,86.317474
Ardea alba,18.548512,82.828606
Ardea alba,19.708101,85.25646
Ardea alba,20.30398,85.83748
Ardea alba,18.583553,82.88658
Ardea alba,18.41947,82.9233
Ardea alba,21.318222,86.893166
Ardea alba,20.447779,85.679054
Ardea alba,19.85628,86.06392
Ardea alba,18.54098,82.92941
Ardea alba,20.698395,86.12491
Ardea alba,18.586206,82.91586
Ardea alba,19.388063,85.044365
Ardea alba,21.492365,83.904915
Ardea alba,18.747105,82.83327
Ardea alba,20.385336,85.81147
Ardea alba,20.743423,86.86692
Ardea alba,19.928053,83.14831
Ardea alba,20.418211,85.830086
Ardea alba,18.593801,82.80152
Ardea alba,19.23372,84.86225
Ardea alba,18.627235,82.976814
Ardea alba,19.900846,85.470955
Ardea alba,20.902315,83.90773
Ardea alba,19.929554,83.14661
Ardea alba,19.372942,85.061455
Ardea alba,18.626001,82.808685
Ardea alba,20.332998,85.868645
Ardea alba,20.583485,86.0328
Ardea alba,20.858139,83.8141
Ardea alba,21.387691,83.85325
Ardea alba,20.222166,85.73484
Ardea alba,20.175234,85.70571
Ardea alba,19.84611,83.00256
Ardea alba,20.513954,85.92215
Ardea alba,20.479757,85.79822
Ardea alba,21.492065,87.09735
Ardea alba,20.503534,85.909256
Ardea alba,20.377834,85.82768
Ardea alba,19.89525,85.50408
Ardea alba,19.289503,84.79054
Ardea alba,20.633568,84.88803
Ardea alba,20.54243,85.86452
Ardea alba,20.26572,85.806526
Ardea alba,19.865227,85.54023
Ardea alba,19.896464,85.438168
Ardea alba,20.273116,86.617111
Ardea alba,20.261281,86.632182
Ardea alba,20.271565,86.618757
Ardea alba,20.720655,86.867645
Ardea alba,20.270212,86.61235
Ardea alba,20.27054,86.616557
Ardea alba,20.270497,86.616506
Ardea alba,20.270955,86.611547
Ardea alba,20.196221,85.795506
Ardea alba,20.194789,85.795868
Ardea alba,20.721265,86.867468
Ardea alba,19.892784,85.4391
Ardea alba,20.721264,86.867468
Ardea alba,19.71739,85.194602
Ardea alba,19.530613,85.090117
Ardea alba,20.002469,86.393415
Ardea alba,20.634617,86.30043
Ardea alba,20.553427,86.77322
Ardea alba,20.76236,86.81845
Ardea alba,21.13505,86.66803
Ardea alba,20.868809,83.88637
Ardea alba,20.71692,86.82552
Ardea alba,20.49852,86.43273
Ardea alba,21.3335,86.8973
Ardea alba,20.213955,85.86561
Ardea alba,20.504143,86.43054
Ardea alba,20.506868,86.39764
Ardea alba,19.892803,85.43905
Ardea alba,20.138712,86.19764
Ardea alba,19.858284,85.9355
Ardea alba,19.85448,86.038635
Ardea alba,20.562359,84.954506
Ardea alba,21.79838,87.29012
Ardea alba,21.276785,85.42592
Ardea alba,19.857582,86.074615
Ardea alba,21.525331,83.76086
Ardea alba,20.952797,85.2414
Ardea alba,19.514961,85.08465
Ardea alba,20.51674,86.400826
Ardea alba,20.714516,86.121025
Ardea alba,20.528736,86.42879
Ardea alba,20.497528,86.42942
Ardea alba,19.892973,85.43872
Ardea alba,20.308409,86.61291
Ardea alba,20.827465,85.257034
Ardea alba,20.395773,85.825966
Ardea alba,20.454533,85.77048
Ardea alba,19.894203,85.44027
Ardea alba,20.78536,85.25103
Ardea alba,20.688938,84.649025
Ardea alba,20.072456,86.16986
Ardea alba,19.897438,85.4354
Ardea alba,20.741053,86.86837
Ardea alba,19.993715,86.34921
Ardea alba,18.14435,82.12653
Ardea alba,19.905966,85.43563
Ardea alba,18.804262,82.7079
Ardea alba,20.498585,86.43297
Ardea alba,20.505728,86.34175
Ardea alba,20.498777,86.43455
Ardea alba,21.006514,86.29121
Ardea alba,20.667845,86.79413
Ardea alba,19.636168,85.17692
Ardea alba,20.952375,85.54297
Ardea alba,19.830885,85.87485
Ardea alba,21.075956,85.57668
Ardea alba,20.20687,85.75174
Ardea alba,20.733364,86.86945
Ardea alba,21.205244,83.92688
Ardea alba,20.577656,85.87451
Ardea alba,21.595001,83.69007
Ardea alba,20.819815,84.387535
Ardea alba,20.99855,85.66856
Ardea alba,20.699694,86.86993
Ardea alba,20.402784,85.827965
Ardea alba,20.401209,85.87579
Ardea alba,21.076817,85.37184
Ardea alba,20.512085,86.39622
Ardea alba,21.672451,83.99242
Ardea alba,20.716127,86.86729
Ardea alba,19.919405,85.42543
Ardea alba,19.907227,85.43686
Ardea alba,20.362328,85.71737
Ardea alba,20.401962,85.82711
Ardea alba,20.804743,84.394775
Ardea alba,19.805447,85.719025
Ardea alba,20.436398,85.74357
Ardea alba,19.375008,85.05661
Ardea alba,19.91904,85.43584
Ardea alba,20.861616,83.89875
Ardea alba,20.771006,86.49607
Ardea alba,20.925182,85.23899
Ardea alba,20.554705,86.77113
Ardea alba,20.436602,85.797
Ardea alba,20.52959,86.44667
Ardea alba,21.435543,86.60521
Ardea alba,20.497066,86.42945
Ardea alba,21.058823,85.29643
Ardea alba,19.646845,85.46741
Ardea alba,20.400036,85.8267
Ardea alba,20.513342,86.39909
Ardea alba,21.12895,85.404755
Ardea alba,20.95456,85.53681
Ardea alba,17.820036,81.38536
Ardea alba,20.392078,85.81824
Ardea alba,20.869335,85.324646
Ardea alba,21.861393,86.24399
Ardea alba,19.914606,85.423935
Ardea alba,20.192663,83.52189
Ardea alba,20.281784,85.80104
Ardea alba,20.193718,85.836
Ardea alba,20.403536,85.82325
Ardea alba,20.453424,85.73519
Ardea alba,20.39972,85.82626
Ardea alba,19.649458,85.476395
Ardea alba,19.892935,85.43863
Ardea alba,19.737501,85.5613
Ardea alba,20.729357,84.34981
Ardea alba,19.644684,85.162094
Ardea alba,19.990301,83.216095
Ardea alba,19.769293,85.25332
Ardea alba,19.919569,85.43426
Ardea alba,19.795904,85.81156
Ardea alba,20.230387,85.884705
Ardea alba,20.456831,85.73194
Ardea alba,20.75681,86.82987
Ardea alba,19.655708,82.59065
Ardea alba,20.386953,85.80676
Ardea alba,19.379337,85.03265
Ardea alba,20.220146,85.82063
Ardea alba,20.811413,84.771935
Ardea alba,20.649668,86.88278
Ardea alba,20.446758,86.43219
Ardea alba,21.127985,85.40424
Ardea alba,20.748232,84.69499
Ardea alba,20.782131,85.72889
Ardea alba,20.785776,85.55144
Ardea alba,21.075378,85.576706
Ardea alba,20.49922,85.76925
Ardea alba,21.660465,83.7795
Ardea alba,21.416985,86.60078
Ardea alba,20.68825,86.80547
Ardea alba,21.073124,85.52968
Ardea alba,21.078331,85.43538
Ardea alba,21.009623,85.5826
Ardea alba,20.433155,85.810074
Ardea alba,19.855667,86.04095
Ardea alba,21.091047,85.334
Ardea alba,21.455906,83.359055
Ardea alba,21.075937,85.57674
Ardea alba,19.856546,85.85302
Ardea alba,19.234434,84.8573
Ardea alba,20.481089,85.77608
Ardea alba,20.740234,86.8685
Ardea alba,21.451109,83.97795
Ardea alba,21.275475,83.94186
