species,decimallatitude,decimallongitude,wc2.1_30s_bio_12,wc2.1_30s_elev,distance_to_water,ndvi
Ardea alba,20.308931,86.309586,1570.0,10.0,7.957151,0.5431245494614622
Ardea alba,21.530615,83.87048,1577.0,174.0,0.925,0.3448050241618493
Ardea alba,20.931667,86.47482,1617.0,10.0,1.3081475,0.5083012873282555
Ardea alba,18.528793,82.98851,1597.0,1077.0,25.399632,0.6062317413703819
Ardea alba,22.253052,84.90094,1399.0,215.0,6.2050886,0.49415885552331
Ardea alba,20.557789,85.43477,1457.0,143.0,16.36492,0.673012084845311
Ardea alba,21.007994,83.75737,1446.0,139.0,7.4,0.5377615295139658
Ardea alba,19.606358,82.82406,1370.0,239.0,24.014397,0.5728608076337983
Ardea alba,21.298798,83.341896,1327.0,233.0,7.9032035,0.5018113394537908
Ardea alba,19.668306,84.684456,1354.0,58.0,26.888718,0.5518151028419226
Ardea alba,19.792126,85.62772,1359.0,6.0,0.0,0.5480666515486061
Ardea alba,18.629297,82.92199,1577.0,992.0,14.119513,0.5917049509543307
Ardea alba,19.90306,82.79655,1301.0,222.0,54.94998,0.5272809608678933
Ardea alba,20.441668,82.673615,1281.0,260.0,0.925,0.4779586613502894
Ardea alba,20.395834,83.15624,1356.0,225.0,0.0,0.328743111641995
Ardea alba,20.843985,85.09981,1330.0,129.0,7.04459,0.4271078104373993
Ardea alba,21.261051,84.13645,1585.0,232.0,22.845816,0.5583434294352151
Ardea alba,18.695766,82.93582,1592.0,970.0,10.341814,0.5893797062088607
Ardea alba,18.77913,82.76532,1590.0,879.0,1.3081475,0.4630385827496502
Ardea alba,20.492537,86.417885,1596.0,7.0,3.7,0.5483439725001495
Ardea alba,19.783165,82.69883,1323.0,252.0,47.16593,0.4912850850648758
Ardea alba,20.445774,83.3531,1381.0,178.0,14.828878,0.5108856376801557
Ardea alba,21.118229,85.55273,1353.0,107.0,4.9812775,0.528472004101972
Ardea alba,21.535467,85.02878,1416.0,135.0,2.068363,0.4663008315314302
Ardea alba,21.8302,86.78932,1637.0,39.0,23.143492,0.5030371872177042
Ardea alba,19.28914,83.88347,1366.0,187.0,2.068363,0.5062036676306488
Ardea alba,21.65521,83.46393,1369.0,190.0,0.0,0.2010551893914158
Ardea alba,20.836927,84.427574,1397.0,111.0,0.0,0.3616525383860003
Ardea alba,20.536064,85.81979,1569.0,37.0,1.85,0.5669597578469155
Ardea alba,20.665888,84.59342,1323.0,65.0,0.0,0.2517010969118151
Ardea alba,21.465061,85.297844,1386.0,184.0,18.706966,0.5168081674584551
Ardea alba,20.824856,84.00141,1433.0,112.0,1.85,0.4911639886742351
Ardea alba,19.506918,84.92334,1305.0,17.0,12.410177,0.4960102653913464
Ardea alba,21.620066,83.729614,1492.0,188.0,0.0,-0.0218503471585206
Ardea alba,21.047298,86.424065,1622.0,20.0,15.057909,0.5014754416064179
Ardea alba,19.423878,84.75906,1324.0,43.0,7.04459,0.4975398176042057
Ardea alba,20.459751,84.98911,1307.0,70.0,0.0,0.3685710698958661
Ardea alba,19.23243,84.85431,1179.0,5.0,2.9251068,0.6597067309477316
Ardea alba,19.927435,86.06352,1437.0,7.0,4.136726,0.4613138411349068
Ardea alba,20.279724,85.93576,1576.0,18.0,10.341814,0.5415433564682826
