species,decimallatitude,decimallongitude
Ardea alba,21.569021,83.98284
Ardea alba,20.402615,86.49932
Ardea alba,21.157278,83.90299
Ardea alba,21.23844,86.63759
Ardea alba,19.37595,84.58368
Ardea alba,21.72793,83.614685
Ardea alba,20.573662,86.616264
Ardea alba,20.910162,86.13133
Ardea alba,20.909063,85.28933
Ardea alba,22.172533,86.31709
Ardea alba,20.901512,85.74493
Ardea alba,21.757868,87.15597
Ardea alba,21.940914,86.574425
Ardea alba,19.702267,85.244064
Ardea alba,20.464487,86.24148
Ardea alba,20.711798,83.54796
Ardea alba,20.554255,86.32626
Ardea alba,21.06329,83.211815
Ardea alba,21.708607,83.545364
Ardea alba,19.358854,84.87019
Ardea alba,21.411444,86.717834
Ardea alba,20.558788,85.96645
Ardea alba,20.659649,86.11711
Ardea alba,21.081251,83.02571
Ardea alba,18.913013,82.7383
Ardea alba,20.752613,86.70903
Ardea alba,19.126689,84.646605
Ardea alba,19.794954,85.29217
Ardea alba,20.788998,86.146126
Ardea alba,21.007193,83.93293
Ardea alba,21.34728,83.55484
Ardea alba,20.630518,86.8956
Ardea alba,21.112288,85.47741
Ardea alba,21.578238,83.47361
Ardea alba,20.506178,85.73694
Ardea alba,20.877455,86.20413
Ardea alba,21.52417,87.14906
Ardea alba,21.400091,83.58157
Ardea alba,20.655184,85.602455
Ardea alba,20.332485,86.17075
Ardea alba,21.681715,83.72829
Ardea alba,21.740665,83.66497
Ardea alba,21.453493,83.78138
Ardea alba,21.695776,87.09166
Ardea alba,20.590725,84.41869
Ardea alba,20.947433,83.62439
Ardea alba,22.0465,86.71112
Ardea alba,19.930183,85.63418
Ardea alba,20.647078,83.432556
Ardea alba,20.721214,83.96566
Ardea alba,20.864925,83.9742
Ardea alba,19.916155,85.73112
Ardea alba,19.359375,84.9831
Ardea alba,19.70668,85.59315
Ardea alba,20.58295,86.390594
Ardea alba,20.597088,85.64653
Ardea alba,20.114546,82.66932
Ardea alba,20.736612,83.41693
Ardea alba,21.51233,86.92951
Ardea alba,20.643581,85.68961
Ardea alba,20.490686,85.84703
Ardea alba,19.19359,83.30171
Ardea alba,20.922194,86.24375
Ardea alba,19.301342,84.944916
Ardea alba,20.906815,85.568275
Ardea alba,21.288902,86.6894
Ardea alba,19.14018,82.318214
Ardea alba,19.79796,85.67662
Ardea alba,20.962515,86.38278
Ardea alba,18.828192,84.05696
Ardea alba,19.847132,85.02434
Ardea alba,20.359957,85.76741
Ardea alba,18.76878,82.88101
Ardea alba,19.881643,86.09988
Ardea alba,19.810719,85.77248
Ardea alba,20.893736,85.68384
Ardea alba,20.609974,85.59831
Ardea alba,20.007524,85.798065
Ardea alba,20.2912,86.71633
Ardea alba,20.106096,85.64238
Ardea alba,20.356895,86.564095
Ardea alba,19.53144,85.1496
Ardea alba,21.355497,83.91971
Ardea alba,21.753948,87.248726
Ardea alba,20.542305,85.58186
Ardea alba,20.357018,84.806435
Ardea alba,20.861444,84.71122
Ardea alba,20.072338,86.275826
Ardea alba,20.20977,86.21927
Ardea alba,20.544538,84.83209
Ardea alba,21.131582,85.81154
Ardea alba,19.40288,84.63757
Ardea alba,19.580494,85.207214
Ardea alba,19.73677,85.38643
